"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery"
"8b96ad43-bb6c-47c0-b7f5-b66a56143fad","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 09:49","19.4","19.4° C","77"
"6914fc1c-f674-44b4-8e96-6444eed4effa","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 09:39","19.4","19.4° C","87"
"8c8bc507-6260-4a3f-91df-bfe521ec3a8b","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 09:29","19.3","19.3° C","97"
"fd1f75a9-b1cf-48fa-8476-1b05f916b425","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 09:19","19.3","19.3° C","63"
"584fadff-a048-4abb-8507-a21124624341","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 09:09","19.2","19.2° C","70"
"c39aff0f-d3ac-4f8f-b0ff-34725b900549","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:59","19.1","19.1° C","80"
"17650af1-0135-408f-82a7-d1e14ebc0f1e","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:49","19.1","19.1° C","63"
"8f203bef-58a1-4c78-a939-eff02f9e2775","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:39","19","19° C","73"
"d31c8eed-a04b-4b6b-942d-595c67f4ce6d","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:29","19","19° C","83"
"39c90b16-a2f7-4f1b-949b-cc955868b780","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:19","18.9","18.9° C","57"
"f7ee251e-c90d-4b1e-9e74-ed4ff47027ae","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 08:09","18.8","18.8° C","63"
"daa364f0-9218-4d1a-a5f2-920f76b3696d","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:59","18.8","18.8° C","73"
"aee56686-0445-41df-bfaa-36573221ffa2","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:49","18.7","18.7° C","83"
"ce7405ef-459b-42cc-9f7f-6b808fab6642","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:39","18.7","18.7° C","93"
"44365e92-553d-4e48-824b-47459dfc438e","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:29","18.6","18.6° C","60"
"09ed6907-46cd-48a0-827a-9e09541c5925","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:19","18.6","18.6° C","67"
"86d33dc7-ce5c-4f01-8052-024b070d9fda","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 07:09","18.6","18.6° C","77"
"408a9215-3963-4269-bd04-ff6ce8a2db39","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:59","18.6","18.6° C","87"
"11c68207-10fd-408d-97c4-c1e57b3627e2","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:49","18.6","18.6° C","97"
"f70e613f-b5da-4cbf-8400-80ee0fc3d00b","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:39","18.6","18.6° C","63"
"0d58b240-70a7-4042-bd79-d652280a52d8","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:29","18.7","18.7° C","73"
"5174c16c-99d1-4ba0-8870-7bdaaaf0bb26","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:19","18.6","18.6° C","83"
"d2c0bf83-3237-4b3f-9743-aba99a0f673c","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 06:09","18.7","18.7° C","93"
"f93a881b-b60e-4158-b36e-8b0c353dcb60","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:59","18.7","18.7° C","60"
"8c8cc0c9-f27c-483f-b1da-e5ad12e2ca85","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:49","18.7","18.7° C","67"
"20dfb766-cc28-4fe4-a8ae-9e8b12a3b453","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:39","18.8","18.8° C","77"
"1df79049-f97e-491f-9f86-1b7135f8ba3b","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:29","18.8","18.8° C","87"
"7e5ef641-ea3c-4f92-9034-d469c3ef3db6","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:19","18.9","18.9° C","97"
"07bbbc60-06ac-4f84-b937-1cdcd5adebe4","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 05:09","18.9","18.9° C","63"
"979cfa7b-b598-4df7-9376-3f60c2da4637","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:59","18.9","18.9° C","73"
"df1805d3-3c47-44b6-9ef1-5abfed8e33a8","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:49","19","19° C","73"
"500facf6-42c4-4536-953b-a9ce7c45c923","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:39","19","19° C","83"
"fc3c313a-b7e9-42f6-b2b5-55e2b8791de5","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:29","19","19° C","93"
"631252d8-178c-4692-8c39-27db0105f8c5","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:19","19.1","19.1° C","60"
"af514571-d154-454c-bd53-6fc0d9cbad12","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 04:09","19.1","19.1° C","67"
"64f8d822-a1dd-4623-8b1a-a442eed2840a","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:59","19.1","19.1° C","80"
"7ade0594-de96-479b-93fa-51e62a67f1f5","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:49","19.1","19.1° C","90"
"2f1730d1-8a49-4243-a542-ffa03790c5ff","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:39","19.1","19.1° C","97"
"0980196c-5b62-428e-a175-786aacdd12ff","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:29","19.2","19.2° C","63"
"89c37433-f32e-4640-aa25-13a7c1f445a3","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:19","19.2","19.2° C","73"
"c341aab5-ec19-426f-ac88-d749f4db4c5e","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 03:09","19.3","19.3° C","83"
"4b04ab30-8e87-4dbd-969b-b0053b22ff30","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:59","19.3","19.3° C","93"
"2f1b695d-ea73-4efd-9250-a9b9935f7818","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:49","19.3","19.3° C","60"
"101fad2c-9a4c-40c1-a017-76324ac2101b","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:39","19.3","19.3° C","67"
"61819f29-1e7b-4331-b229-66dc9b54a469","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:29","19.4","19.4° C","77"
"736b67d2-95ba-45ac-930c-94c516ea14ef","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:19","19.4","19.4° C","87"
"0e166349-d50c-4abf-ac85-395dca1f1b21","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 02:09","19.4","19.4° C","100"
"0f926991-c119-44bb-a948-ec4dd91467dd","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:59","19.4","19.4° C","63"
"94f6a61e-5649-410a-9a34-4dcb04d1b2b6","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:49","19.5","19.5° C","73"
"726760be-acbd-479c-bc6b-2f74d7828749","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:39","19.5","19.5° C","83"
"ee730f4b-3998-4acc-8166-d1cd46a41a7a","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:29","19.5","19.5° C","93"
"45a411b4-6636-471c-97c5-e73582573e0c","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:19","19.5","19.5° C","100"
"715d9675-5ee2-4bd2-9744-7daf9fec1685","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 01:09","19.6","19.6° C","67"
"1f6e979a-b17a-4c0b-8806-b2a4e3015f71","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:59","19.6","19.6° C","80"
"3ef401e6-f4ac-4523-891b-a2873f7066ac","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:49","19.6","19.6° C","90"
"ecdfc7ff-a9b2-444c-afc8-260567f8ef5d","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:39","19.7","19.7° C","100"
"6d333f7b-70cf-4ecd-b2b4-f03def5a185d","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:29","19.7","19.7° C","63"
"99d37552-be78-4a48-b3a1-9d8632523df5","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:19","19.8","19.8° C","73"
"2011eabf-a72f-4508-bcc0-5bb7f769946f","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","06/11/2019 00:09","19.8","19.8° C","87"
"9eb81bc5-2580-42fe-b67e-691a43ccf107","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:59","19.9","19.9° C","93"
"b0112be4-6c82-4685-8930-8da5540275ec","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:49","19.9","19.9° C","100"
"614fa43c-4c28-4ddb-b28d-e5139e41b49e","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:39","20","20° C","70"
"7e75d51d-68bb-49de-9c0b-593a6af2a621","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:29","20","20° C","80"
"f090b982-414c-4d88-bbdf-42a5bfb62907","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:19","20","20° C","90"
"85cbf0c1-5d90-40b2-98a5-78d21c3a2b9d","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 23:09","20","20° C","100"
"1033cc12-0115-4449-a6dd-717a91c2cdb3","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:59","20.1","20.1° C","63"
"843ca233-e405-45c1-bc07-992255085be4","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:49","20.2","20.2° C","73"
"a699f7eb-694c-40c1-a080-5a209d5c43b9","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:39","20.3","20.3° C","87"
"d08f9bcf-10e7-40f4-bbbe-df444b1c7712","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:29","20.3","20.3° C","97"
"34d827f8-5d39-4b5b-a632-a5288de5e4c5","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:19","20.4","20.4° C","100"
"0a98e42a-29e5-4e8b-9f1a-784a6ca638ad","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 22:09","20.5","20.5° C","70"
"0df4336b-ca1e-4e6c-9f6c-4e08b6efc97c","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 21:59","20.5","20.5° C","80"
"b55f47d4-fd6c-4fed-8c59-867e3764cf30","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 21:49","20.6","20.6° C","80"
"bb4f001d-591a-4d2d-a23e-558545e47205","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 21:39","20.6","20.6° C","93"
"a88dbe4f-cf96-4fd8-9f4a-e1a40d9a50e0","465936","1 Bodega - Nivel 1 - Temperature - 465936 (3)","05/11/2019 21:29","20.7","20.7° C","97"
