"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery"
"f08e8e99-cff8-4bbe-a9d1-1e8b49fa741c","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 09:49","43.41","43.41% @ 19.1° C","100"
"9e204de1-87a6-4e19-b0b7-c43020a9926f","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 09:39","43.49","43.49% @ 19° C","100"
"5d881f3e-e772-43be-bb5d-116b8831b952","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 09:29","43.51","43.51% @ 18.9° C","100"
"e59a02a8-2491-4552-8397-0a6191d26bfe","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 09:19","43.61","43.61% @ 18.8° C","100"
"d48f7a05-f034-4930-9d16-90e23c6b148f","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 09:09","43.77","43.77% @ 18.7° C","100"
"192565dd-0265-4474-bca0-00dbb6f7d672","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:59","43.96","43.96% @ 18.6° C","100"
"ceb058a0-2635-4d75-8cbd-c8b96f10ab09","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:49","44.15","44.15% @ 18.5° C","100"
"e8a848bf-5ea2-4d89-8fc1-c8fe44f8723a","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:39","44.26","44.26% @ 18.4° C","100"
"527cae05-644b-4411-af10-cdd8a635b621","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:29","44.35","44.35% @ 18.4° C","100"
"5f63e2c3-4553-477c-a61b-c1e9d537090c","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:19","44.34","44.34% @ 18.2° C","100"
"7b6fb590-f6c4-4d15-84ea-d98b7bb047f2","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 08:09","44.29","44.29% @ 18.2° C","100"
"13b810fe-7f7f-44ea-b954-960ead3a53d7","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:59","44.27","44.27% @ 18.1° C","100"
"dc309025-6e00-42ac-81ec-1d41e6ca842e","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:49","44.36","44.36% @ 18.1° C","100"
"16e7006c-609b-4c91-b95b-24b85419d86a","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:39","44.4","44.4% @ 18° C","100"
"e4ab2bbf-a4f4-42a6-91b8-e7cb9cf94066","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:29","44.43","44.43% @ 17.9° C","100"
"8c2458f9-6313-43b8-8e56-6bcebb0f354a","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:19","44.54","44.54% @ 17.9° C","100"
"67b571ee-2690-462a-a1e3-3562aa361e13","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 07:09","44.52","44.52% @ 17.9° C","100"
"23c67984-440a-439c-92b0-5d5877c825af","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:59","44.45","44.45% @ 17.9° C","100"
"6535dc2c-b273-488f-a4d2-d9d2af8b6144","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:49","44.41","44.41% @ 17.9° C","100"
"479b6eee-4134-474d-a677-5ec5178c75ab","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:39","44.31","44.31% @ 17.9° C","100"
"8f0e79c2-10fb-469d-b670-bc3feabe0e19","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:29","44.27","44.27% @ 18° C","100"
"6f2de6e9-2492-4ac2-a782-764b70625805","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:19","44.24","44.24% @ 18° C","100"
"535a3e15-8b6a-46b6-b703-5208955e2aaf","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 06:09","44.19","44.19% @ 18.1° C","100"
"85312ddc-c907-41f5-a69e-7f3c4e157ce7","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:59","44.09","44.09% @ 18.1° C","100"
"ed89745f-067a-4612-a8d0-7eba983b9d7f","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:49","44.05","44.05% @ 18.1° C","100"
"f2fe4330-fa84-4e4b-85a9-67b07a9beb99","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:39","44","44% @ 18.1° C","100"
"5fd5835d-48a9-4636-8ea0-9a04ba3113ae","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:29","43.89","43.89% @ 18.2° C","100"
"6b00f176-293e-416e-a176-b03255ac9573","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:19","43.86","43.86% @ 18.3° C","100"
"42b169a0-1735-45dc-b17c-2f29789694b4","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 05:09","43.76","43.76% @ 18.3° C","100"
"2116b71c-f8af-4dcf-86e3-3c3261b9dfd7","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:59","43.61","43.61% @ 18.3° C","100"
"d92ad30b-91e3-4e85-9f60-725fce634bfc","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:49","43.53","43.53% @ 18.4° C","100"
"f2268d84-88a8-47fc-8070-5fea7c4043a0","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:39","43.44","43.44% @ 18.4° C","100"
"310e4c4b-7b0e-4a4c-b393-1bfb124ce305","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:29","43.39","43.39% @ 18.5° C","100"
"c6738c2a-8f00-4756-b43e-fb97a2128dbe","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:19","43.37","43.37% @ 18.5° C","100"
"596d7db5-d6cb-4d03-8be7-d5147904c8b1","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 04:09","43.34","43.34% @ 18.5° C","100"
"d0fe65ac-21f8-4af2-84bb-9db11241c4b9","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:59","43.34","43.34% @ 18.5° C","100"
"bb6409a6-272c-41e7-b051-19e85739a346","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:49","43.24","43.24% @ 18.5° C","100"
"e664fe81-049d-497d-9548-6015074dfbbf","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:39","43.18","43.18% @ 18.6° C","100"
"d4ed3dc6-48a5-4dcd-8787-021679a2d052","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:29","43.06","43.06% @ 18.6° C","100"
"1121a3fa-8485-45ae-bb9d-369b34a6dd26","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:19","42.92","42.92% @ 18.7° C","100"
"72d5ddef-342c-4c94-856b-bd4dacaab35f","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 03:09","42.74","42.74% @ 18.8° C","100"
"a611bf1f-8297-419a-a38b-5ced9469f28b","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 02:59","42.58","42.58% @ 18.8° C","100"
"de2500fe-634d-42f9-b1e8-c21f2815a8ba","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 02:49","42.53","42.53% @ 18.9° C","100"
"a88afebe-d154-4eb2-88fc-a98d95208791","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 02:39","42.51","42.51% @ 18.9° C","100"
"b2463f9c-cea2-4150-b8c8-1f0b6e9afee7","465976","1 Bodega - Nivel 1 - Humidity - 465976 (4)","06/11/2019 02:29","42.4","42.4% @ 18.9° C","100"
